domanID,siteID,namedLocation,domainName,flightbxID,aop_site_id,sitetype,YearSiteVisit,FlightDate,year,flightdate
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_5,2019071613,2019,2019-07-16
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_5,2019071514,2019,2019-07-15
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_4,2019051614,2019,2019-05-16
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_4,2019051713,2019,2019-05-17
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_4,2019052213,2019,2019-05-22
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2019_KONZ_4,2019052218,2019,2019-05-22
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2020_KONZ_6,2020070814,2020,2020-07-08
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2020_KONZ_6,2020071316,2020,2020-07-13
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2020_KONZ_6,2020070714,2020,2020-07-07
D06,KING,KING.AOS.S2,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,S2,2020_KONZ_6,2020071213,2020,2020-07-12
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2016_KONZ_1,2016071114,2016,2016-07-11
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2016_KONZ_1,2016071514,2016,2016-07-15
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2016_KONZ_1,2016071714,2016,2016-07-17
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2017_KONZ_2,2017060914,2017,2017-06-09
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2017_KONZ_2,2017060516,2017,2017-06-05
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2018_KONZ_3,2018060513,2018,2018-06-05
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2018_KONZ_3,2018053014,2018,2018-05-30
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_5,2019071313,2019,2019-07-13
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_5,2019071214,2019,2019-07-12
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_5,2019071613,2019,2019-07-16
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_5,2019071514,2019,2019-07-15
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_4,2019051614,2019,2019-05-16
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_4,2019051713,2019,2019-05-17
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_4,2019052213,2019,2019-05-22
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2019_KONZ_4,2019052218,2019,2019-05-22
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2020_KONZ_6,2020070814,2020,2020-07-08
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2020_KONZ_6,2020071316,2020,2020-07-13
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2020_KONZ_6,2020070714,2020,2020-07-07
D06,KING,KING.AOS.reach,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2,KONZ,reach,2020_KONZ_6,2020071213,2020,2020-07-12
D06,MCDI,MCDI.AOS.S2,Prairie Peninsula,D06_MCDI_C1_P2_v1,MCDI,S2,2017_MCDI_1,2017060516,2017,2017-06-05
